Yield,Flow,Adjustment,Duration,Distance,Width, Area,Elevation,Date,GrowerName,FieldName,CropName
216.5,13.53,14.58,1,90.7452,1097.2,0,2511.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
203.22,13.68,14.29,1,97.7452,1097.2,0,2507.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
205.3,13.82,14.04,1,97.7452,1097.2,0,2506.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
210.16,15.45,13.85,1,106.7452,1097.2,0,2504.3188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
222.08,16.02,13.79,1,104.7452,1097.2,0,2505.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
216.86,16.54,13.71,1,110.7452,1097.2,0,2502.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
188.33,15.92,13.47,1,122.7452,1097.2,0,2505.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
196.67,16.896,13.35,1,124.7452,1097.2,0,2505.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
217.07,18.2,13.26,1,121.7452,1097.2,0,2504.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
210.13,18.342,13.21,1,126.7452,1097.2,0,2500.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
210.49,17.6487,13.21,1,121.7452,1097.2,0,2503.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
198.79,16.9415,13.27,1,123.7452,1097.2,0,2502.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
194.18,16.682,13.4,1,124.7452,1097.2,0,2502.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
205.86,17.2601,13.48,1,121.7452,1097.2,0,2501.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
185.14,16.7984,13.44,1,131.7452,1097.2,0,2501.0188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
213.51,19.078,13.37,1,129.7452,1097.2,0,2499.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
198.64,17.8859,13.15,1,130.7452,1097.2,0,2501.2188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
208.02,19.7333,13.03,1,137.7452,1097.2,0,2499.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
211.13,20.174,12.97,1,138.7452,1097.2,0,2500.0188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
199.54,19.754,12.94,1,143.7452,1097.2,0,2497.0188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
206.17,20.4102,12.93,1,143.7452,1097.2,0,2500.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
191.39,19.2107,12.88,1,145.7452,1097.2,0,2498.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
197.32,19.5342,12.81,1,143.7452,1097.2,0,2497.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
195.36,19.3398,12.84,1,143.7452,1097.2,0,2498.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
210.94,20.7367,12.85,1,142.7452,1097.2,0,2494.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
218.45,21.3246,12.82,1,141.7452,1097.2,0,2497.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
201.98,20.2732,12.82,1,145.7452,1097.2,0,2497.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
201.84,19.8422,12.9,1,142.7452,1097.2,0,2497.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
214.17,21.2015,12.96,1,143.7452,1097.2,0,2498.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
216.38,21.421,13.02,1,143.7452,1097.2,0,2497.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
225.53,22.1707,13.2,1,142.7452,1097.2,0,2497.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
215.2,21.6005,13.3,1,145.7452,1097.2,0,2497.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
226.6,22.1203,13.39,1,141.7452,1097.2,0,2496.6188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
214.56,21.2402,13.49,1,143.7452,1097.2,0,2496.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
240.96,24.0202,13.74,1,144.7452,1097.2,0,2497.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
210.76,21.8801,13.86,1,150.7452,1097.2,0,2494.1188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
226.56,22.7401,13.99,1,145.7452,1097.2,0,2495.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
226.23,23.3301,14.09,1,149.7452,1097.2,0,2495.7188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
226.6,22.9,14.11,1,146.7452,1097.2,0,2494.3188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
222.41,22.63,14.29,1,147.7452,1097.2,0,2494.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
215.22,21.75,14.27,1,146.7452,1097.2,0,2496.3188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
195.92,20.07,14.36,1,148.7452,1097.2,0,2495.4188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
200.13,19.95,14.47,1,144.7452,1097.2,0,2498.5188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
178.1,18.49,14.63,1,150.7452,1097.2,0,2494.9188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
191.33,19.6,14.79,1,148.7452,1097.2,0,2495.8188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
167.21,18.05,14.8,1,156.7452,1097.2,0,2491.0188,8/14/2015,Hardwick Planting,18 - 106 Acres,Corn
